Unique Order Identifier,Order Complexity,Supplier,Unique Product Identifier,Planned Year,Planned Month,Planned Quarter,Planned Day,Planned Weekday,Delivery Delay,Delivery Status,Ordered Quantity,Arrival Year,Arrival Month,Arrival Quarter,Arrival Day,Arrival Weekday,Delivered Quantity,Delivery_Delay_Days,Status,Quantity Difference,Quantity Status
6261158-1,1,53742181,DIODE BYT30PI10,2023,3,1,6,0,3,too late,214.0,2023,3,1,9,3,214.0,3,late,0.0,exact
6261159-1,1,41964020,9999,2023,4,2,10,0,-14,too early,1.0,2023,3,1,27,0,1.0,-14,early,0.0,exact
6261160-1,1,51590315,40000070000,2023,4,2,3,0,0,on time,40.0,2023,4,2,3,0,40.0,0,on_time,0.0,exact
6261162-1,1,53936705,23013850001,2023,8,3,21,0,8,too late,600.0,2023,8,3,29,1,600.0,8,late,0.0,exact
6261163-1,1,11351254,23000350001,2023,9,3,29,4,-4,too early,591.0,2023,9,3,25,0,228.0,-4,early,-363.0,under delivered
6261164-1,8,93118673,23100551501,2023,11,4,6,0,-20,too early,45.0,2023,10,4,17,1,45.0,-20,early,0.0,exact
6261164-2,8,93118673,23100780201,2023,10,4,2,0,-18,too early,59.0,2023,9,3,14,3,59.0,-18,early,0.0,exact
6261164-3,8,93118673,23100090800,2023,9,3,4,0,10,too late,573.0,2023,9,3,14,3,573.0,10,late,0.0,exact
6261164-4,8,93118673,23100092200,2023,8,3,7,0,8,too late,500.0,2023,8,3,15,1,250.0,8,late,-250.0,under delivered
6261164-5,8,93118673,23100484100,2023,9,3,4,0,23,too late,500.0,2023,9,3,27,2,500.0,23,late,0.0,exact
6261164-6,8,93118673,23100092100,2023,9,3,4,0,23,too late,500.0,2023,9,3,27,2,500.0,23,late,0.0,exact
6261164-7,8,93118673,23100484100,2023,10,4,2,0,-5,too early,500.0,2023,9,3,27,2,500.0,-5,early,0.0,exact
6261164-8,8,93118673,23100484100,2024,2,1,5,0,-111,too early,500.0,2023,10,4,17,1,500.0,-111,early,0.0,exact
6261165-1,1,33183872,RPG 11-150-00,2023,9,3,18,0,11,too late,1594.0,2023,9,3,29,4,1594.0,11,late,0.0,exact
6261166-1,1,20559137,23200510201,2023,9,3,11,0,0,on time,7500.0,2023,9,3,11,0,7500.0,0,on_time,0.0,exact
6261167-1,2,805128,9999,2023,3,1,20,0,-3,too early,1.0,2023,3,1,17,4,1.0,-3,early,0.0,exact
6261167-2,2,805128,9999,2023,3,1,20,0,-3,too early,10.0,2023,3,1,17,4,10.0,-3,early,0.0,exact
6261168-1,1,5179328,21000010300,2023,3,1,13,0,-3,too early,480.0,2023,3,1,10,4,480.0,-3,early,0.0,exact
6261169-1,4,95947983,26000130000,2023,12,4,11,0,2,too late,5000.0,2023,12,4,13,2,5000.0,2,late,0.0,exact
6261169-2,4,95947983,26000060000,2023,12,4,11,0,2,too late,10000.0,2023,12,4,13,2,10000.0,2,late,0.0,exact
6261169-3,4,95947983,26000330000,2023,12,4,11,0,2,too late,10000.0,2023,12,4,13,2,10000.0,2,late,0.0,exact
